Account Title,Abstracts
Identification and characterization of novel genetic factors contributing to the significance of listeria monocytogenes as a foodborne pathogen,"The perils of pathogen-contaminated food are fresh in the minds of many Canadians, and stem from the recent outbreak linked to widespread distribution of E. coli 0157:H7 contaminated beef products across North America. Correspondingly, consequences of food safety failures are of considerable interest to Canadians. Regarding Listeria monocytogenes (Lm), 99% of listeriosis cases are estimated to derive from contaminated food. Therefore, improved mitigation strategies aimed at more effective control of Lm are required to reduce recalls and rates of listeriosis. To this end, my research program aims to identify factors contributing to food chain survival that enable more effective Lm mitigation. At this time, we are focusing on a recently discovered genomic island (LGI1) reported in deli meat and BC seafood. This islet encodes putative stress response, quaternary ammonium compound, and virulence genes. Notably, strains carrying LGI1 were recently shown to form a new epidemic clone (ECV), and have caused human disease in Canada since 1988. To elucidate whether LGI1 genes contribute to food chain survival and/or virulence, my research program will use traditional and molecular approaches to address hypotheses. In short, we will compare Lm 1/2a serotype strains lacking LGI1 to 1/2a strains possessing LGI1 to see if differences exist in the ability to tolerate food-related stress (acidic pH, high salt) and sanitizers. Similarly, we will determine if Lm having LGI1 adhere to food surfaces and enterocytes more effectively. To compliment these traditional food microbiology approaches, my program will use qPCR and targeted gene deletion/complementation to confirm LGI1 contributions. As well, since LGI1 encodes an alternate sigma factor and a two-component regulator, RNA sequencing will be employed to investigate possible stress response/regulatory differences in strains encoding LGI1. This research program will contribute new knowledge regarding the role of LGI1. Considering its association with clinical listeriosis in Canada, such insight is critical, and will provide a foundation from which new and/or improved control strategies will evolve."
Support for role of the nuclear pore in Ty1 transposition,"The nuclear pore complex (NPC) orchestrates cargo between the cytoplasm and the nucleoplasm and regulates chromatin organization and gene expression. NPC proteins, or nucleoporins (Nups) are required for integration of retroviral DNA into the genome. We use the Tyl retrotransposon of the budding yeast 5accharomyces cerevisiae (5. cerevisiae) as a model system to study retroviral integration because retrotransposons are the progenitors of retroviruses and have conserved integrase (IN) enzymes. Ty1 elements are targeted by Ty1-IN upstream of RNA Polymerase (Pol) Ill transcribed genes such as transfer RNA (tRNA) genes. Recent evidence that 5. cerevisiae tRNA genes are recruited to the NPC during active transcription prompted us to examine the role of the NPC in Ty1 transposition. We have found that mutation of components of the NPC nuclear basket (Mlp1, Mlp2, Nup1, Nup2 and Nup60) have defects in Ty1 mobility and Ty1 element insertion into the genome. We will perform genome-wide mapping of Ty1 insertions in a variety of mutants of the nuclear basket proteins to determine how these mutations affect Ty1 insertion. Genome-wide mapping requires induction of Ty1 insertion in each mutant using a barcoded Ty1 element, followed by extraction of genomic DNA, amplification of the de novo Ty1 insertions (with the barcoded Ty1 element) and illumina sequencing to identify the insertion position. The sequencing will be performed at the UBC Sequencing and Bioinformatics Consortium (http://sequencing.ubc.ca)."
NSERC Industrial Research in Dairy Cattle Welfare,"UBC proudly partners with the Dairy Farmers of Canada and a team of other industrial sponsors working within Canada's dairy sector to support five more years (Years 15 to 20 in total) of research on dairy cattle welfare. UBC's Animal Welfare Program was created as an NSERC Industrial Research Chair in 1997 and has since grown to become the world's leading research group working on dairy cattle welfare. The current proposal builds upon these strong foundations to produce science-based recommendations that dairy producers can use to promote the health, welfare, and productivity of their cattle. Our planned research will focus on important welfare concerns of practical interest to the dairy industry. The five areas are: 1) dietary and management transitions of calves and growing heifers, 2) access to pasture and alternative outdoor areas, 3) reimagining indoor housing for cattle, 4) identification of risk factors for poor cow comfort and disease on commercial farms and, 5) identify simple outcome-based welfare measures for producer self-assessment.

The funding from our partners will allow for the creation of a new senior research associate position, with the aim of grooming a suitable candidate for eventual hire as a new faculty member within our cattle welfare team. This new position will cement the Animal Welfare Program's reputation as the world's leading research unit working in this area, and strengthens the position of the Canadian dairy industry in addressing the increasingly important issues around social sustainability of farm practices.

Studies will continue to be conducted on commercial dairy farms and at the state-of-the-art UBC Dairy Education and Research Centre in Agassiz, British Columbia, recognized as one of the leading dairy research facilities in the world. This facility is a fully operational dairy farm, managed and designed to support dairy research and technology transfer.
"
Integrated cardiorespiratory physiology,"I study the heart, an organ that powers the cardiorespiratory system. I aim to discover mechanisms and unifying concepts that explain how different cardiac designs assist animals to live at a high environmental temperature or with low (or no) O2. One theme of my research program will provide new insights into specialized ion channels in cardiac cell membranes that are key to allowing an animal’s heartbeat to be automatic and rhythmic. We will investigate how the heartbeat is physiologically initiated and controlled when these channels open for ion movements. Also, a phylogenetic tree of the molecular structure of these ion channels will be created for hagfish (representatives of earliest chordates), cartilaginous fishes (at the base of the vertebrate lineage) and lungfish (at the base of the tetrapod lineage). A second theme builds on our physiological studies of rainbow trout populations that, through natural selection or hatchery practices, live at unusually high temperatures for this species. We will explore molecular mechanisms (changes to DNA and in RNA expression) that allow regular heartbeats at what would be normally a supra-optimal temperature for the species. By extension, we will see if Antarctic and Arctic fishes can express a new cardiac design and maintain physiological function after being warmed to temperatures realistic for global climate change. Hemoglobin-free icefish will be studied in Antarctica (an expedition funded by the USA’s National Science Foundation), while Arctic cod will be shipped to and acclimated in UBC’s new aquatic facility. Lastly, to enlighten how the first vertebrates may have developed a more secure O2 supply for their heart, we will complete our comprehensive phylogenetic and physiological exploration of the coronary circulation in cartilaginous fishes. Because all animals do not possess a coronary circulation and by studying representatives of basal vertebrates in which the coronary circulation first appeared, we will identify factors that likely drove the evolution of an O2 delivery system that better secures heart function when it must continue beating in extreme conditions. Thus, my research program will generate basic morphological, physiological and molecular information that help explain how cardiac structure and function ensure an adequate O2 supply for an animal. This information is of great significance to Canadians given the increased warming of our Arctic Ocean and the eutrophication our freshwater."
Development of paper-based immunoassays to detect food chemical hazards,"Rapid, cost-effective, and accurate detection of food chemical hazards can offer an important means to improve food safety and economic benefit of biotechnology industry in Canada. Enzyme-linked immunosorbent assay (ELISA) and immunochromatographic strip assay are two representative immunoassays that have been widely applied for the detection of food chemical hazards. However, conventional ELISA requires large volumes of analytes and reagents, and the time required for incubation and blocking steps are long. Further, the fabrication of immunochromatographic strip is complicated and the price of a single test is high. In this NSERC CRD project, we propose to develop low-cost paper-based immunoassays to improve the detection of food chemical hazards. As two representative techniques to pattern paper, photolithography and wax screen printing will be applied to fabricate microzone on paper for the development of both competitive and sandwich ELISA assays to detect selective veterinary drug residues and allergens, respectively. In addition, inkjet printing technique will be applied to fabricate microfluidic paper-based immunochromatographic strips for the detection of the aforementioned food chemical hazards in a ""one-step"" procedure. The developed paper-based immunoassays for the detection of food chemical hazards offer a few major advantages over the conventional immunoassays. They are more rapid, high-throughput, and only require small amount of samples, reagents, and simple equipment. The availability of this technology will provide Canadian manufactures with unprecedented insight and advantages in the development of the next-generation immunoassays. Continuous information certifying the performance quality of advanced immunoassays will secure the premier position of Canadian agri-food diagnostic products in the world marketplace. Moreover, the knowledge developed in the areas of patterned paper along with microfluidic ""lab-on-a-chip"" technique represent an advance of fundamental importance to the field of analytical chemistry that applied in agricultural, food, and biotechnology industry."
"Detection, validation, and assessment of risks implied by the viable but non-culturable (VBNC) state of enteric bacterial pathogens in fresh produce","Increased consumption, large-scale production and efficient distribution of fresh produce have contributed to an increase in the number of illness outbreaks caused by fresh fruits and vegetables. Comprehensive data about the prevalence of bacterial pathogens is essential for the development of accurate risk assessments and relevant quality control systems for fresh produce. None of the analytical methods commonly used for the analysis of fresh produce can account for bacterial pathogens in physiological states that preclude detection, notably the viable but non-culturable state (VBNC). We will develop a new diagnostic assay by modification of the loop-mediated isothermal amplification (LAMP) method to incorporate intercalating dye to enable the rapid and sensitive detection of both viable and VBNC Salmonella and Shiga toxigenic E. coli (STEC) in fresh produce. Once the diagnostic assay is developed, assay performance will be validated and field trials and postharvest study will be conducted to examine the survival of VBNC cells and to determine the risk posed by VBNC Salmonella and STEC on lettuce. This research will provide a more rapid, lower-cost, and easily interpreted diagnostic assay to improve produce safety. The acquired knowledge of risk implied by the survival of VBNC Salmonella and STEC on fresh produce will improve fresh produce safety by 1) ensuring produce grown in California and the USA meets or exceeds industry and regulatory food safety standards and 2) reducing foodborne illness caused by the consumption of contaminated fresh produce."
Specialty birds research fund,"The purpose of this research fund is to assist the BC Specialty Bird Industry to be competitive, to overcome constraints to growth, and to be sustainable by facilitating, funding and coordinating research in the areas of economics and marketing, biology and genetics, environment, production management, and food science."
Integrative cardiorespiratory physiology,"The cardiovascular system, as a critical life support system, plays a key role in how vertebrates tolerate or adapt to diverse ecological niches. My long-term research aim is to define underlying mechanisms and unifying concepts that explain cardiovascular diversity and phenotypic plasticity among lower vertebrates, and especially in fishes. A central question is: What cardiovascular features allow an animal to tolerate a particular environmental condition? The approach uses in vivo and in vitro (organ, tissue and cellular) intervention studies (emphasizing exercise, 02, pH, temperature and pharmacological agents), as well as species comparisons, and reveals much about the animal as a whole, more so if mechanisms setting the limits for maximum cardiac performance are understood. One research theme focuses on why fish stop swimming, especially at warm temperatures. Experiments will test the working hypothesis that 02 supply to the heart becomes limited during extreme exercise, causing fish to stop swimming. Experiments include innovative measurements of 02 in venous blood during swimming and assessments of maximum heart performance under conditions that simulate those occurring in venous blood near fatigue. A second research theme examines cardiovascular regulation when an animal has no 02 (anoxia). Experiments will test the working hypothesis that anoxic turtles switch from central (neural) to local (tissue-specific) cardiovascular controls as they tum down metabolism to pilot light status, whereas anoxic crucian carp maintain normal cardiac activity to avoid both acidosis and ethanol intoxication. The third research theme integrates mechanistic studies of ion trafficking in cardiac cells, seeking answers to how anoxic crucian carp hearts function normally, how anoxic turtles and common carp drastically reduce heart rate, how adrenaline may protect acidotic/hypoxic trout hearts, and why heart rate in fish rarely exceeds 120 bpm. A new emphasis on ion trafficking is important because our work, and that of others, is showing that the modulation of ion trafficking allows lower vertebrates alter cardiac excitability in response to the environmental challenges that they routinely face, and we study."
Trainee travel project - B-vitamins in breast milk,"After four years studying vitamins A and E in human milk, I realized that the mother-infant dyad could be extensively further studied and due to that my short term career goal is to broaden my knowledge on human milk nutritional composition, in order to achieve a long term goal that is being able to work with public policies related to breastfeeding practice. To achieve these goals, my project aims to expand my knowledge on the methodological approaches involved in the analysis of vitamins in human milk and my chosen training environment is the USDA Western Human Nutrition Research Center (WHNRC)."
Molecular genetics of baculovirus transcription factors,"Baculoviruses are insect specific pathogens that are currently been used around the world as biological insect control agents that are not harmful to the environment. Baculoviruses are extremely specific for the insects they infect and are not harmful to humans. The research being performed in this study is determining the molecular basis of how baculoviruses infect and kill pest insects. We will be studying the key genes that control and regulate the virus life cycle. These genes are essential for the virus and determining how these genes work will provide insights into what makes a virus more or less virulent and also why a virus can infect one insect but not another. These studies will provide fundamental knowledge about how viruses infect and kill cells, which is applicable to many areas of science including human medicine. In addition, these studies may lead to improved methods of using insect diseases instead of chemical pesticides to control economically important insect pests."
Unrestricted Research Funds,Salmon samples have been collected as part of an Aquanet funded project. A portion of each fish has been vacuum packaged and has been in frozen storage. The flesh samples will be visually evaluated for color using the Roche SalmoFan as well as with a Minolta reflectance spectrophotometer. Texture of raw and cooked flesh samples will be measured with a Texture Analyzer.
Suboptimal riboflavin status in women of childbearing age? Is dairy a potential solution?,"Dairy products are a leading source of vitamin B2 (riboflavin) in the Canadian diet. Riboflavin is not generally thought to be lacking in Canadians' diets, but in a small pilot study we showed that that a substantial proportion (about 40%) of young women (18-45 y) in Vancouver had low blood levels of riboflavin. Low riboflavin may lead to anemia and high blood pressure in some people. In order to confirm these findings we propose collecting blood samples to measure riboflavin status in a larger group of women, to determine the extent of the problem. We aim to conduct the study in White and Chinese women as it is reported that Chinese people are less likely to consume dairy products and thus may be at higher risk of low blood riboflavin than Whites. We will also examine if higher dairy intake is related to better blood riboflavin levels. Finally we will see if low blood riboflavin is linked to high blood pressure and anemia.

If this study confirms that riboflavin levels in blood are low in this sample of Canadian women, an increased dairy consumption should be encouraged in this group to ensure an adequate riboflavin intake."
Quantification and mitigation of green house gas emissions from high value agricultural production systems in B.C.,"Agriculture is a significant source of global greenhouse gas (GHG) emissions and thus a serious concern regarding future climate change. Any substantial efforts to mitigate such effects demands robust estimates of actual GHG emissions from different cropping systems. While a significant effort has been made during the last two decades in measuring GHG emissions in agricultural production systems including grasslands, in Ontario, Quebec and Prairies, only infrequent and short-duration measurements have been attempted in BC. As a result, no credible annual estimates of net GHG emissions, based on actual measurements, are available for major cropping systems in BC. We will quantify actual emissions associated with major crop production systems in in BC, particularly the Fraser valley, and develop a set of Beneficial Management Practices (BMPs) to reduce climate impacts from agricultural production. Measurements will be made using the eddy-covariance technique on farm-scale and using automated and manual chamber measurements on trial plots. We will also measure carbon sequestration in soil and plant biomass, which, along with energy and material inputs in various on-farm activities, will provide us estimates of net GHG budgets. This will help us to determine the BMPs to achieve increased crop production and N-use efficiency while minimizing GHG emissions. The data will be used to parameterize the DeNitrification-DeComposition (DNDC) model and the parameterized model will be used to estimate landscape-scale GHG emissions and the effects of expected climate change. The outcome of this research will provide accurate and previously unavailable annual estimates of GHG emissions in important crop production systems, and make new GHG mitigation information freely available to Canadian producers, policy makers and the scientific community. The project will benefit Canada by moving it away from Tier 1 'default' or Tier 2 'country-defined' emission factors towards Tier 3 'higher order (modelled and measurement-based)' emission factors in reporting to the IPCC the GHG emissions in agriculture."
The feasibility of using dried black soldier fly larvae (Hermetia illucens) in laying hen diets,"Soybean is the main source of protein in poultry diets while its production results in significant global greenhouse gas emissions. A potential substitute for the use of soybean could be insects like black soldier fly larvae (BSFL; rich in protein and fat) produced from food wastage. Dried BSFL has been approved by CFIA for use in broiler diets but has not yet been approved to be used in laying hen diets in Canada because of the lack of required data. 
A feeding trial with BSFL (control, 10%, 20%) will be carried out to assess the feasibility and safety of the use of larvae in layer diets. Results of our study would facilitate the registration of dried BSFL as a feedstuff in layer diets by Enterra Feed Corporation. Such act would provide a channel for recycling food waste, provide an environmentally friendly feedstuff for egg farmers, promote sustainable agriculture, and cut down on global emissions.
"
Effects of social experience on calf behaviour,"The welfare of animals, especially those used in food production, has become an area of increasing social concern. A research priority cited repeatedly by agricultural and other animal-user groups is the development of methodology for a more objective assessment of animal well-being. My proposal involves developing methods for the scientific study of animal welfare that can later be applied to socially and economically important issues in housing and management of farm animals. One of the most important conceptual innovations in animal welfare science over the past 5 years has been to use changes in cognitive functioning to provide insights into affective states. Borrowing on experimental approaches designed to assess depression in humans, and more recently modified for use in laboratory animals, my research will test the effects of changes in affective states (such as those associated with social isolation) on how animals respond to ambiguous stimuli. Dairy calves are typically housed in individual pens or hutches, but a growing body of literature on rats is showing that rearing animals with this level of social isolation can result in profound cognitive deficits, as characterized by problems in memory and learning tasks. The proposed research is the first ever to apply these ideas and approaches from the laboratory animal literature to farm animals where individual housing systems are common. The proposed experiments will contribute to the basic literature on the effects of social experience on cognitive development, and may have profound implications for our understanding of the welfare of animals kept in individual housing systems, common in some agricultural systems. This research will provide basic insights into calf welfare, and pave the way for more applied research that will be of practical relevance to dairy producers, in developing rearing methods that provide improvements to both the calf and to the productivity of the farm. The funds will go toward training of young scientists to help meet a growing demand for academics, veterinarians and other professionals with expertise in animal welfare research."
