Title	Department	Institution	Abstract	Start Date	End Date	Funding Agency	Researchers	Topic
The Effect of Dietary Camelina Oil on the Health of Salmon		"Fisheries and Oceans Canada (DFO), University of Victoria (UVic), Creative Salmon Co. Ltd., Linnaeus Plant Sciences Inc., Taplow Ventures, Ltd."	"Traditional salmon feeds use high levels of fishmeal and fish oil to meet the nutritional needs of the fish, but these ingredients face large fluctuations in price and availability. Lower-cost alternatives have been investigated, including canola oil, soy oil, and poultry fat. Oil from the plant species Camelina sativa is another promising option that is already able to replace fish oil in diets for Atlantic Cod, Atlantic Salmon, and Rainbow Trout with little or no reduction in growth or feed efficiency. However, substitution of dietary fish oil with vegetable oils (such as Camelina oil) in fish feed may elicit inflammatory changes due to the different fatty acid profiles. There are limited data available on changes to the gut, and no data for vegetable oil’s health effects on Chinook Salmon. This project seeks to examine the influence of fish oil substitution by Camelina oil on susceptibility to intestinal inflammation of Chinook Salmon under culture conditions. Inflammation is energetically demanding and stressful, thus influencing disease resistance. By using Camelina oil to trigger gut inflammation in Chinook Salmon, results from this project will increase knowledge and understanding of these effects in order to develop better management practices surrounding disease impacts on cultured finfish species."	SEP. 2015	OCT. 2016	DFO–Aquaculture Collaborative Research and Development Program (DFO–ACRDP); Creative Salmon Co. Ltd.	"Ian Forster (DFO); Simon Jones (DFO); Marije Booman (UVic); Barb Cannon Tim Rundle (Creative Salmon Co. Ltd.); Jack Grushcow (Linnaeus Plant Sciences Inc.); Brad Hicks (Taplow Ventures, Ltd.); Barb Cannon, Tim Rundle (Creative Salmon Co. Ltd.)"	Aquaculture - Fish Health
Investigating Probiotic Bacteria and Their Bacteriocins as Part of a Disease Management Strategy in Salmon Aquaculture		"Fisheries and Oceans Canada (DFO), Mainstream Canada (Cermaq Canada Ltd.), Marine Harvest Canada Limited"	"On salmon farms, diseases caused by bacterial infections are managed by minimizing the risk of exposure to pathogens, vaccination, and ensuring the availability of sufficient high quality water and feed. There are concerns regarding the effectiveness and long term sustainability of using antibiotics to treat bacteria, so to help further reduce antibiotic use, this study focused on the therapeutic potential of probiotics in aquaculture. Probiotic bacteria can enhance the immune system of the fish, and can change the composition of the intestinal microbiota, which function in overall fish health. Probiotic bacteria may also secrete antimicrobial compounds that kill other bacteria, including fish pathogens. This project used probiotic bacteria and antimicrobials with activity against common salmon pathogens, and evaluated their application as feed additives to improve fish health. This project supports the DFO objective of optimal fish health. Specifically, this project found the following results: 
• Paenibacillus terrae and Paenibacillus polymyxa showed antimicrobial activity against five salmon pathogens. P. terrae was selected for further trials as it showed a stronger activity. 
• There was no evidence that the probiotic diets caused a reduction in feed attraction or appetite. 
• No significant effect of the probiotic diets was found on the survival rate of salmon after exposure to the pathogen Vibrio anguillarum. 
• P. terrae survived in salmon intestines but did not colonize the gut. 
• The results suggested that the live P. terrae diet may cause changes in the abundance and/or the diversity of the intestinal microbiota. This is currently being examined in more detail. 
• Increased knowledge of the effect of P. terrae on fish health will help determine its suitability as a therapeutic probiotic feed additive for salmon, which will benefit the aquaculture industry.
"	APR. 2014	JUN. 2015	DFO–Aquaculture Collaborative Research and Development Program (DFO–ACRDP); Mainstream Canada (Cermaq Canada Ltd.); Marine Harvest Canada Limited	"Simon Jones (DFO); Marije Booman, Steve Cho (DFO); Peter McKenzie (Mainstream Canada (Cermaq Canada Ltd.)); Diane Morrison (Marine Harvest Canada Limited)"	Aquaculture - Fish Health
The Effects of Smolt Size on the Intensity of Kudoa thyrsites Infections in Atlantic Salmon		"Fisheries and Oceans Canada (DFO), Marine Harvest Canada Limited, Cermaq Canada"	"Atlantic Salmon infected with Kudoa thyrsites do not exhibit clinical signs of disease. However, protease secretion from this parasite rapidly deteriorates affected muscle in the salmon when the fillet is processed, resulting in economic loss for the grower. Earlier research suggested the risk of K. thyrsites was reduced when salmon were transferred to sea as larger smolts. This research project involves a more robust test of the size hypothesis by conducting trials that examine how smolts of a range of size classes respond to exposure to the K. thyrsites parasite. The results of this project may help to improve the competitiveness of the Canadian salmon aquaculture industry by assessing a problem that greatly affects the marketability of Atlantic Salmon produced in British Columbia. An understanding will be gained in the relative importance of fish size (smolts) in influencing the development of K. thyrsites. Data obtained from the project will help inform K. thyrsites management strategies. "	OCT. 2015	JUN. 2017	DFO–Aquaculture Collaborative Research and Development Program (DFO–ACRDP); Marine Harvest Canada Limited; Cermaq Canada Ltd.	"Simon Jones (DFO), Diane Morrison (Marine Harvest Canada Limited); Kathleen Frisch (Cermaq Canada Ltd.)"	Aquaculture - Fish Health
"Estimating the Potential for Waterborne Transmission of Infectious Haematopoietic Necrosis (IHN) Disease between Salmon Farms and Wild Sockeye Salmon in the Discovery Islands, British Columbia"		"Fisheries and Oceans Canada (DFO), Marine Harvest Canada Limited, Grieg Seafood BC Ltd., Mainstream Canada (Cermaq Canada Ltd.)"	"Infectious Haematopoietic Necrosis Virus (IHNV) is responsible for major economic losses in British Columbia salmon aquaculture operations. Viral transmission patterns and oceanographic circulation models for the Discovery Islands region provide estimates for the potential of IHNV outbreak and spread to neighbouring farms. This study quantified the transmission potential of IHN disease between farms and wild Sockeye Salmon. It also determined the capacity of vaccinated Atlantic Salmon and IHNV-carrying Sockeye Salmon to transmit the virus to naïve hosts (ones who have never before been infected). Specifically this project found the following results: 
• Neighbouring naïve farms can become infected via waterborne transmissions. Adherence to the  stringent disease management practices (such as immediately quarantining an infected farm site) reduces transmission of infectious doses to other farms. 
• The model simulations demonstrated that using commercially available IHN vaccines greatly reduces the risk of transmission by lowering the overall number of susceptible fish. It also reduced the virus shedding capacity of the vaccinated farm population if it were to become infected with IHNV. To date, vaccinated farmed Atlantic Salmon populations have not developed IHN disease, while unvaccinated populations have been declared INHV positive. 
• With some modifications, the modelling tools can be applied to other diseases and to simulate transmission from farmed to wild populations and vice versa. It will be possible to estimate the risk of infection for fish swimming in proximity to diseased farms and assess the relative effectiveness of disease and farm management practices such as vaccination, quarantine, depopulation, and determining optimal locations for aquaculture sites.
"	JUN. 2013	JUN. 2015	DFO–Aquaculture Collaborative Research and Development Program (DFO–ACRDP); Marine Harvest Canada Limited; Grieg Seafood BC Ltd.; Mainstream Canada (Cermaq Canada Ltd.)	"Kyle Garver (DFO); Mike Foreman, Darren Tuele, Ming Guo, Dario Stucchi, Peter Chandler (DFO); Diane Morrison (Marine Harvest Canada Limited); Barry Milligan (Grieg Seafood BC Ltd.); Peter McKenzie (Mainstream Canada (Cermaq Canada Ltd.))"	Aquaculture - Fish Health
Optimizing the Fish Health Reporting and Data Management System		"Centre for Coastal Health (CCH), Fisheries and Oceans Canada (DFO)"	"The Centre for Coastal Health (CCH) is conducting a utility assessment of the current BC Salmon Farmers Association (BCSFA) fish health database, which houses fish health data contributed by industry members from 2001-2016. The results of the utility assessment will be used to determine how the database can be used to generate useful fish health information for BCSFA members and other stakeholders, including the public. The CCH is also developing a portfolio of fish health reports from data contained within the database. The overall objectives of this project are to: 
1) understand fish health information and accessibility needs, and to determine the uses and limitations of the BCSFA fish health database; 
2) design new fish health reports from the BCSFA database that assist farm management and aid in communications; and 
3) Identify changes that could be made to the database to expand its utility. The current fish health database functions as a repository of data, from which limited analysis can be conducted. The outcomes from this project should improve the functionality of the database, and enable improved reporting of fish health events. 
"	APR. 2015	MAR. 2016	BC Salmon Farmers Association	"Carl Ribble (CCH); Tyler Stitt, Theresa Burns,  Stefan Iwasawa (CCH); Kyle Garver (DFO)"	Aquaculture - Fish Health
Microbial Impacts on Shellfish Aquaculture in Relationship to Ocean Acidification 		"Fisheries and Oceans Canada (DFO), Island Scallops Ltd., Fanny Bay Oysters Ltd."	"Ocean acidification (characterized by high dissolved carbon dioxide (pCO2) levels) can affect shellfish fertilization rates, hatching success, larval development, shell deformation, seed production, and survival. However, it is not clear whether high pCO2 levels alone are responsible for poor performance in some West Coast shellfish operations. While hatcheries have successfully controlled levels of pCO2 for larval and nursery production through the use of buffering systems, there have continued to be high variations in batch to batch survival. This suggests that other uncontrolled aspects of the seawater composition during high pCO2 events may be at play, most notably bacterial compositions. Researchers are applying a metabarcoding approach to assess the shifts in bacterial community composition that occur in sea water coming into a Pacific Northwest shellfish hatchery, post pCO2 buffering, and throughout larval culture and comparing bacterial compositions in larvae and water between batches of good and poor performance. Ultimately, the project will identify the degree to which initial pCO2 levels impact bacterial communities of cultured shellfish and identify whether certain bacterial species are more common in seed batches demonstrating poor survival. The knowledge obtained through this research will be useful in the development of a mitigation strategy to reduce the impact of ocean acidification on the shellfish industry on Canada’s West Coast. Additionally, the identification of factors that contribute to farmed shellfish mortality may lead to the development of monitoring tools. This would ultimately assist the industry in enhancing environmental sustainability and economic viability of shellfish aquaculture. This project supports the DFO objective of optimal fish health."	JUN. 2014	JUN. 2017	DFO–Aquaculture Collaborative Research and Development Program (DFO–ACRDP); Island Scallops Ltd.; Fanny Bay Oysters Ltd.	"Kristi Miller-Saunders (DFO); Barb Bunting, Rob Saunders (Island Scallops Ltd.); Brian Yip (Fanny Bay Oysters Ltd.)"	Aquaculture - Fish Health
The Effects of Prior Exposure and Body Size on the Intensity of Kudoa thyrsites Infections in Farmed Atlantic Salmon		"Fisheries and Oceans Canada (DFO), Marine Harvest Canada Limited, Mainstream Canada (Cermaq Canada Ltd.)"	"The parasite Kudoa thyrsites is the cause of soft-flesh syndrome in post-harvest Atlantic Salmon farmed in British Columbia. Infected fish exhibit no clinical signs of disease, but affected muscle deteriorates after processing depending on the severity of infection. The industry in BC is subject to substantial economic loss because of Kudoa-associated changes to fillet quality. Currently, there are no vaccines or approved strategies for treatment for K. thyrsites. This study investigated three management options for K. thyrsites infections: 
• The efficacy of ultraviolet irradiation of seawater as a method to inactivate K. thrysites in the laboratory.
• The influence of prior exposure to K. thyrsites on parasite development during subsequent exposure.
• The influence of fish size on the prevalence and severity of the infection. The knowledge gained through this research project will lead to a greater understanding of disease transmission and wild-farmed interactions. Additionally, this information will allow for better finfish cage siting and decision making and the development of tools to help further manage this disease. This project supports the DFO objective of optimal fish health. Specifically, the following results were found: 
• Ultraviolet irradiation of seawater significantly reduces risk of infection in Atlantic Salmon. UV-irradiation is not practical in current net pen production systems, but would prove valuable in a closed-containment system. 
• Previous infection with K. thyrsites reduces the risk of a severe subsequent infection. This is consistent with observations made by industry that initial rearing of smolts at a low-risk site reduces the severity of infection following transfer to high-risk sites. It would be valuable to further investigate alternative methods of simulating an earlier exposure. 
• No consistent relationship between fish size and susceptibility to K. thrysites was observed. Further research will explore alternative methods of testing the size hypothesis. 
"	JUN. 2013	JUN. 2015	DFO–Aquaculture Collaborative Research and Development Program (DFO–ACRDP); Marine Harvest Canada Limited; Mainstream Canada (Cermaq Canada Ltd.)	Simon Jones (DFO); Diane Morrison (Marine Harvest Canada Limited); Peter McKenzie (Mainstream Canada (Cermaq Canada Ltd.))	Aquaculture - Fish Health
Net Pen Liver Disease Project–Developing a Fluorescent Antibody Test to Prove the Causative Agent		"Grieg Seafood BC Ltd., BC Ministry of Agriculture"	"An incidence of Net Pen Liver Disease (NPLD) was diagnosed in a population of adult Atlantic Salmon at a Grieg Seafood farm site in Nootka Sound, British Columbia, June 25, 2014. Previous presentations of the disease at company sites were limited to poor performers, three to four months post sea water entry. This new presentation was different as it affected well established grow out fish of approximately 3.6 kg. Based upon historical information, the disease had been associated with a hepatotoxic mycrocystin–LR (MC). Phase 1 of the project was to develop a fluorescent antibody test to positively identify the microcystin toxin present in affected fish. Histological surveys of smolts (500 g) growing within an adjacent inlet did not test positive for NPLD; feed rate and mortality remained normal. Water samples were taken from the affected site and a site located geographically distant from the affected site both tested positive for the presence of MC. Atlantic Salmon were experimentally exposed to the microcystin toxin thought to be the causative agent of the disease. Liver tissue samples were harvested over various timescales and the tissues were sent to the Animal Health Centre in Abbotsford, BC for histological processing and evaluation. Samples with lesions attributed to toxin exposure were used to develop a fluorescent antibody which was able to detect the presence of the toxin. Future work will optimize the test including determining both the level of sensitivity of the antibody and the strength of antibody required for accurate testing. This study provides proof of concept for the causative agent for Net Pen Liver Disease."	AUG. 2016	MAR. 2017	Grieg Seafood BC Ltd.	"Tim Hewison (Grieg Seafood BC Ltd.); Matthew Patterson, Patrick Whittaker, Graeme Cooper (Grieg Seafood BC Ltd.); Heindrich Snyman (BC Ministry of Agriculture)"	Aquaculture - Fish Health
"Improving the Survival, Health, Quality, and Food-Safety of Post-Transported Tilapia and Barramundi"		"University of British Columbia (UBC), Viva Aquaculture and Seafood Distribution Ltd."	"The market demand for live Tilapia (Oreochromis niloticus) and Barramundi (Lates calcarifer) in Metro-Vancouver is steadily increasing. The stress and physical injury that occurs to fish during transport from USA to Langley, B.C. for acclimation and maintenance prior to retail sales have resulted in high fish mortalities and large economic losses to Viva Aquaculture and Seafood Distribution Ltd. (Viva). Developing viable and sustainable protocols to improve the survival, health, and quality of post-transported fish will benefit the company and retailers economically, and will also provide consumers with better food safety and quality fish products. It will also lead to new economic and employment opportunities locally, as well as be a source of diversified and nutritious seafood products for consumers in British Columbia. The University of British Columbia (UBC) and Viva have established a research collaboration to improve the survival and quality of fish transported from USA to Langley, BC. The specific objectives of this collaborative project were: 
1) to increase the survival rate of adult Tilapia transported from Idaho, USA, by improving water quality through the manipulation of salinity, alkalinity, hardness, pH, temperature, and dissolved oxygen, and the elimination of toxic nitrogenous wastes; and 
2) to improve the quality and food safety of fish during the post-transport recuperation and acclimation period using government-approved therapeutants and prophylactics, as well as indigenous microalgae, to eliminate potential microbial pathogens that might be present in the source water used to transport the fish from USA. 
The results of this research project will lead to the development of post-transport protocols that are applicable in a commercial scale; are viable, efficient, safe, and sustainable for the maintenance rearing of adult fish destined for the retail market and human consumption in Canada.
"	FEB. 2015	DEC. 2018	Viva Aquaculture and Seafood Distribution Ltd. (Viva)	"Jesse Ronquillo (UBC; Viva); Chang Lin Ye, Kai Chen (Viva); David Kitts, Siyun Wang (UBC)"	Aquaculture - Fish Health
Marine Reservoirs of Infectious Agents Associated with Proliferative Gill Disorders in Farmed Salmon		"Fisheries and Oceans Canada (DFO), BC Ministry of Agriculture, Marine Harvest Canada Limited, British Columbia Salmon Farmers Association (BCSFA)"	"Gill diseases and disorders among Atlantic Salmon raised in seawater net pens are an emergent and important cause of losses. There is a need to better describe the causes, distribution, and possible control of gill diseases, which have been attributed to infections with parasites, bacteria, viruses, as well as exposure to algal blooms, jellyfish, and other non-infectious agents. This project focuses on associations of viruses and parasites such as Paramoeba perurans and Desmozoon lepeophtherii with proliferative gill disorders (PGD) in order to improve understanding of reservoirs of infections. Infectious causal factors will be studied in populations of wild and farmed salmon sharing common bodies of water to better understand the epidemiology of proliferative gill disorders. This project will develop knowledge related to the distribution and causes of PGD in British Columbia, which will inform further development of farmed fish health management strategies and improve the understanding of the role of gill disorders in the conservation of wild salmon."	APR. 2016	JUN. 2018	"DFO–Aquaculture Collaborative Research and Development Program (DFO–ACRDP); BC Salmon Farmers Association
(BCSFA)"	"Simon Jones (DFO); Gary Marty (BC Ministry of Agriculture); Sonja Saksida, Marc Trudel (DFO); Diane Morrison, Sharon DeDominicis (Marine Harvest Canada Limited); Jeremy Dunn, Joanne Liutkus, Rachel Saraga (BCSFA)"	Aquaculture - Fish Health
Pathogen Susceptibility of Sockeye Salmon–Phase 1: Infectious Salmon Anemia Virus (ISAV) and Salmon Alphavirus (SPDV or SAV)		"Fisheries and Oceans Canada (DFO), Marine Harvest Canada Limited"	"In recent years, Sockeye Salmon populations in Canada have been experiencing declines in productivity; of particular note is the Fraser River Sockeye Salmon stock. The reasons for this decline remain speculative but it is thought the susceptibility of Sockeye to pathogens may be a key contributing factor. However, the susceptibility of Sockeye Salmon to Infectious Salmon Anemia Virus (ISAV) or Salmon Alphavirus (SPDV or SAV) has never been tested. These pathogens are known to affect cultured Atlantic Salmon in various salmon producing regions and countries (e.g., ISAV on the east coast of Canada, ISAV and SPDV in Norway). This project examines the disease resistance or susceptibility of Sockeye Salmon to pathogens known to affect Atlantic Salmon and the potential transmission of disease for a priority list of pathogens (ISAV, SPDV). Additionally, this project compares the viral response to ISAV at a cellular level (e.g., using gill tissue) between Sockeye and Atlantic Salmon, and their long-term immunity in response to exposure. This research is necessary in order to predict the consequences of an introduction or outbreak of these pathogens at an aquaculture site to the health and sustainability of Sockeye Salmon. The outcome of this work will allow Fisheries and Oceans Canada to improve disease surveillance, detection and management strategies, and help to minimize the impacts of pathogens on cultured and wild fish."	JUL. 2014	JUN. 2018	DFO–Aquaculture Collaborative Research and Development Program (DFO–ACRDP); Marine Harvest Canada Limited	"Nellie Gagné (DFO); Francis Leblanc, Philip Byrne, Steven Leadbeater (DFO); Diane Morrison (Marine Harvest Canada Limited)"	Aquaculture - Fish Health
Marine Reservoirs of Infectious Agents Associated with Proliferative Gill Disorders in Farmed Salmon		Fisheries and Oceans Canada (DFO); Marine Harvest Canada Limited	"Gill diseases contribute to economically important production losses in Atlantic Salmon aquaculture. This project will improve our understanding of reservoirs of infections with infectious agents associated with these disorders. One of these, amoebic gill disease (AGD), was diagnosed for the first time in BC in 2014 and the causative agent, Paramoeba perurans, has been detected in BC. Another agent that is associated with proliferative gill inflammation (PGI) in Europe, the microsporidian, Desmozoon lepeophtherii, has been detected in BC and Washington State. Several cases of a PGI-like condition were reported in farmed salmon in BC in 2015. This project capitalizes on an opportunity to benefit from a unique set of samples; juvenile salmon collected by industry as part of their sea lice certification program. Specifically, these samples will be examined for evidence of their involvement as reservoirs of infection with agents associated with proliferative gill disorders in farmed salmon. The objectives of this project are to: 
1) determine distribution of P. perurans and D. lepeophtherii in wild Pacific Salmon and salmon lice collected in proximity to marine netpens; 
2) describe the occurrence of proliferative gill lesions in wild fish; 
3) characterize the genomic sequence of BC variants of P. perurans and D. lepeophtherii; and 
4) conduct laboratory transmission studies to identify and quantify (host and environmental) parameters surrounding transmission of the causative agent between candidate reservoir species and Atlantic Salmon. 
These objectives reflect the knowledge gaps concerning PGI and causal agents in farmed salmon in BC. The key anticipated project outcome will be knowledge related to the distribution and causes of PGI in BC. This knowledge will inform further development of farmed fish health management strategies. 
"	APR. 2016	MAR. 2018	DFO–Program for Aquaculture Regulatory Research (DFO–PARR)	"Simon Jones (DFO); Anne-Marie Flores, Sonja Saksida (DFO); Diane Morrison, Sharon DeDominicis (Marine Harvest Canada Limited); Marc Trudel (DFO)"	Aquaculture - Fish Health
Epidemiological Analysis and Modelling of Aquatic Pathogens		Fisheries and Oceans Canada (DFO); Centre for Coastal Health Society	"One of the big questions concerning disease processes of aquatic pathogens is what factors influence pathogen prevalence in wild and cultured fish populations. The prevalence and intensity of pathogens can vary annually within and between fish stocks, yet the drivers behind such annual fluctuations remain unresolved. Some fish populations can be free of virus one year, yet be greater than 80% positive in subsequent years. The occurrence of such dramatic “on and off periods” begs the questions “Why now?” and “Why was there an absence of virus in previous years?” To better understand variations in aquatic pathogen prevalence in wild and farmed populations, this project will use epidemiological analytical approaches to study the patterns of aquatic pathogens in wild and cultured fish populations with the goal of identifying the factors that influence the occurrence of pathogens and disease. To help understand the main drivers of pathogen epidemiology in aquatic systems, this project will: 
1) gather and assemble a comprehensive dataset of fish health analyses and salmon population metrics across multiple river systems; 
2) examine and compare annual pathogen prevalence among wild sockeye populations from multiple river systems; and 
3) Explore host, pathogen and environmental factors for potential correlates with pathogen variability in wild sockeye populations. 
"	APR. 2016	MAR. 2018	DFO–Program for Aquaculture Regulatory Research (DFO–PARR)	Kyle Garver (DFO); Christine MacWilliams (DFO); Carl Ribble (Centre for Coastal Health Society)	Aquaculture - Fish Health
Physiological Consequences of Piscine Orthoreovirus (PRV) Infection of Atlantic and Pacific Salmonids		Natural Sciences and Engineering Research Council of Canada (NSERC); Fisheries and Oceans Canada (DFO); University of British Columbia (UBC); British Columbia Salmon Farmers Association (BCSFA)	"Piscine Orthoreovirus (PRV) commonly occurs in healthy salmon which are asymptomatic of heart and skeletal muscle inflammation (HSMI) disease. The capacity of PRV to establish long-term infections and the potential association with the HSMI disease in fish has raised concerns towards its ability to impact salmon physiology and overall fish health. As such, the role of PRV in HSMI continues to be studied. This project aims to determine if PRV infections have physiological consequences and whether the virus can directly impact salmon health. This laboratory study addresses these questions by evaluating the cardiorespiratory performance (swimming ability) of PRV-infected Atlantic and Sockeye Salmon in comparison to uninfected controls. Oxygen binding potential and maximum oxygen consumption will be measured and compared between infected and non-infected individuals. This research builds on other studies about PRV. The outcome of this study will provide a better understanding of whether PRV infections are associated with physiological consequences. Results of the study will inform Fisheries and Oceans Canada management strategies for PRV. "	AUG. 2016 	JUN. 2018	DFO–Aquaculture Collaborative Research and Development Program (DFO–ACRDP); BC Salmon Farmers Association (BCSFA)	"Kyle Garver (DFO); Mark Polinski (NSERC); Anthony Farrell, Colin Brauner (UBC); Jeremy Dunn (BCSFA)"	Aquaculture - Fish Health
Developing a Genomics Tool (FIT-CHIP) for In-Season Information on Salmon Health		Fisheries and Oceans Canada (DFO); University of British Columbia (UBC)	"Climate change, genetic challenges, ecological inconsistency, and disease can all be listed as potential stressors to wild populations of salmon on Canada’s West Coast. This project plans to address the physical states of wild populations through the development of a series of “salmon FIT-CHIPs” which will be used as a predictor of salmon condition. The system offers extreme flexibility, allowing biological markers to be easily customized for stress or other conditional states to different life-history stages, environments, and in different tissues. This tool will provide the first in-season method to incorporate information on salmon condition into fisheries management decision making. A text search will be conducted on abstracts or full papers for key protein (biomarkers) word associations that have been linked to a given stressor. The project will then continue by data-mining the huge in-house microarray databases produced from dozens of studies that encompass more than 4,900 microarrays and three salmon species (Chinook, Sockeye, and Coho) as well as over 60 stress-challenge microarray studies conducted across a broad range of salmon species available in public databases. Tests will be developed that should work across all three species, and preferentially across Atlantic Salmon and Rainbow Trout as well. In all, it is anticipated that five FIT-CHIPS will be developed through this project. The ultimate aim is to discover biomarkers predictive of the presence of specific stressors or conditions and to translate these into a tool (FIT-CHIP) that can inexpensively and rapidly identify the presence of multiple stressors or conditions in a group of fish at once. "	APR. 2014	MAR. 2017	DFO–Genomics Research and Development Initiative (DFO–GRDI)	"Kristi Miller-Saunders (DFO); Norma Ginther, Tobi Ming, Colin Wallace (DFO); Paul Pavlidis (UBC)"	Aquaculture - Fish Health
Susceptibility of Sockeye Salmon to Viral Hemorrhagic Septicemia Virus		Fisheries and Oceans Canada (DFO); United States Geological Survey	"As part of the sustainable management of finfish aquaculture, there are regulatory requirements that are designed to minimize the transfer of pathogens from farmed finfish to wild fish. However, finfish cultured in ocean net pens have the potential to be exposed to naturally occurring pathogens and to transfer pathogens to wild fish. Viral Hemorrhagic Septicemia Virus (VHSV) has been identified in farmed Atlantic Salmon, Salmo salar, in British Columbia. VHSV is a naturally occurring pathogen in British Columbia and is a cause of serious disease in wild Pacific Herring, Clupea pallasii. Pacific Herring are known to enter and remain in Atlantic Salmon net pens, thereby increasing the potential for the virus to be transferred to farmed Atlantic Salmon. Although the occurrence of VHSV in farmed salmon is rarely accompanied with significant disease and mortality, experimental studies have shown that the VHS virus can persist in the tissue of farmed Atlantic Salmon. This causes concern for potential host adaptation and viral spillback to fish sharing the marine environment. This study is investigating what effect, if any, the occurrence of VHSV in farmed Atlantic Salmon may have on wild Sockeye Salmon. Previous studies have shown that Coho, Chinook, and Chum Salmon are natural hosts of VHSV, but less is known about the susceptibility of Sockeye Salmon to VHSV. To address this knowledge gap, this project will determine the susceptibility of Sockeye Salmon smolts to VHSV using laboratory exposure studies. The results of this study will contribute to the development of adaptive management strategies in British Columbia aimed at minimizing the transfer of pathogens between farmed Atlantic Salmon and wild Pacific salmon."	APR. 2015	MAR. 2017	DFO–Program for Aquaculture Regulatory Research (DFO–PARR)	Kyle Garver (DFO); Paul Hershberger (United States Geological Survey); Jon Richard (DFO)	Aquaculture - Fish Health
Developing Hard-Bottom Indicators from BC Archived Benthic Video Surveys Associated with Aquaculture Activities		Fisheries and Oceans Canada (DFO)	"Under the Aquaculture Activities Regulations (AAR), and previously as a condition of licence, the Pacific aquaculture industry has been required to conduct seafloor monitoring of finfish aquaculture sites. This project is applying a standard analytical approach to a large collection of archived video surveys collected during a seven-year period (2004-2010) and over a wide range of coastal settings (fjordic inlets, Broughton Archipelago, the west coast of Vancouver Island, Johnstone Strait, etc.). The measurement of redox and sulphide from sediment samples is an accepted standard practice for soft-bottom seabeds. However, past monitoring practices involving grab sampling for redox and sulfide analyses have presented challenges at aquaculture sites located over hard bottom substrates. Section 10(2) of the AAR allows for visual monitoring instead of sediment grab samples if it is not possible to obtain benthic substrate samples. Results supported the use of primary and secondary indicator species (Beggiatoa spp. and Opportunistic Polychaete Complexes–OPC). Potential additional indicators that may warrant further investigation include Giant Plumose Anenomes as this species is tolerant to organic enrichment and was observed as co-occurring with Beggiatoa-like bacteria and OPCs at some farm sites, as well as taxa that tend to occur at the transition between oxic states could be investigated (e.g., sea urchins, brittle stars, tube dwelling anemones, shrimp, etc.)."	SEP. 2011	MAR. 2016	"DFO–Program for Aquaculture Regulatory Research (DFO–PARR)
"	"Terri Sutherland (DFO), Andrea Bartsch, Michelle Ou (DFO), Bernie Taekema, Kerra Shaw, March Klaver, Jon Chamberlain (DFO)

"	Aquaculture - Environmental Interactions
Development and Validation of a Biomonitoring Tool to Assess the Impacts of Salmon Aquaculture on Marine Benthic Communities Using Metabarcoding		"Fisheries and Oceans Canada (DFO), University of Geneva"	"Salmon aquaculture causes organic enrichment of surrounding sediments which has been shown to affect biodiversity and biomass of benthic fauna concomitant with sediment chemical changes. Environmental impact assessments have generally focused on changes in macro-invertebrate communities based on manual taxonomic identification, requiring a substantial investment of labour and taxonomic expertise, or have relied on abiotic proxies like sulfide measurements with uncertain accuracy and reliability. Next-generation DNA sequencing methods offer an efficient and reliable lower-cost alternative by cataloging the diversity and abundance of benthic communities through metabarcoding of environmental DNA (eDNA). This approach has been successful at identifying environmental impacts associated with farming activities in Scotland, New Zealand, and Norway. This project will develop a new eDNA-based metabarcoding tool for assessing the impacts of farming on benthic metazoan and foraminiferan communities in BC and will validate its use for ongoing biomonitoring through comparisons with existing methods. This research will also address existing knowledge gaps about the impacts of salmon farming on benthic metazoans and foram communities and enrich DNA barcode databases for these taxa from BC inshore waters."	APR. 2016	MAR. 2019	"DFO–Program for Aquaculture Regulatory Research (DFO–PARR)
"	"Cathryn Abbott (DFO), Xiaoping He, Terri Sutherland, Kristi Miller-Saunders, Kara Aschenbrenner, Scott Gilmore, Kerra Shaw (DFO), Jan Pawlowski (U Geneva)
"	Aquaculture - Environmental Interactions
